time	intensity
15.014	2719.659424
15.031	2824.784912
15.048	2758.020264
15.064	2600.888184
15.081	2504.799561
15.097	2475.696777
15.114	2532.78833
15.131	2662.842529
15.147	2756.813477
15.164	2762.958984
15.18	2646.635986
15.197	2387.051758
15.214	2163.61377
15.23	2185.436035
15.247	2410.466797
15.263	2604.665771
15.28	2635.071045
15.296	2653.38916
15.313	2787.250732
15.33	2869.499512
15.346	2850.116455
15.363	2836.904785
15.379	2831.655762
15.396	2877.30249
15.413	2904.954346
15.429	2697.474854
15.446	2524.488281
15.462	2738.105957
15.479	2989.240967
15.496	3025.918701
15.512	2990.950195
15.529	2907.269775
15.545	2747.040527
15.562	2584.343994
15.578	2528.664307
15.595	2557.915771
15.612	2551.623047
15.628	2511.793457
15.645	2500.197266
15.661	2476.702393
15.678	2372.231201
15.695	2224.870605
15.711	2158.692871
15.728	2140.956055
15.744	2086.126221
15.761	2080.43042
15.777	2206.821289
15.794	2374.440918
15.811	2394.65918
15.827	2299.806396
15.844	2290.731445
15.86	2349.007813
15.877	2311.285889
15.894	2210.917236
15.91	2287.435059
15.927	2642.241699
15.943	3078.600098
15.96	3434.349609
15.977	3770.119141
15.993	4082.791748
16.01	4166.29541
16.026	3884.188232
16.043	3397.960938
16.059	2973.688965
16.076	2725.050537
16.093	2620.537598
16.109	2581.638916
16.126	2667.224121
16.142	2902.870361
16.159	3062.229736
16.176	2991.137207
16.192	2804.67627
16.209	2602.130127
16.225	2327.681641
16.242	1920.824219
16.258	1473.648804
16.275	1312.800903
16.292	1570.402954
16.308	1795.337646
16.325	1657.585938
16.341	1543.860718
16.358	1812.226196
16.375	2160.064697
16.391	2270.190674
16.408	2242.290039
16.424	2213.104492
16.441	2167.901611
16.458	2125.669678
16.474	2177.673096
16.491	2482.603027
16.507	3078.754395
16.524	3591.012451
16.54	3504.044434
16.557	2690.607178
16.574	1733.023071
16.59	1547.643311
16.607	2142.370361
16.623	2659.407471
16.64	2680.535645
16.657	2430.31543
16.673	2200.425293
16.69	2132.339111
16.706	2200.396973
16.723	2242.782227
16.74	2216.199707
16.756	2256.843262
16.773	2315.719727
16.789	2232.863037
16.806	2083.826904
16.822	1992.750977
16.839	1948.115356
16.856	1936.907227
16.872	1995.588501
16.889	2088.804443
16.905	2115.794434
16.922	2092.736572
16.939	2104.325684
16.955	2214.213135
16.972	2462.635742
16.988	2709.344482
17.005	2757.61377
17.021	2662.845703
17.038	2559.94165
17.055	2526.004639
17.071	2633.354492
17.088	2861.193115
17.104	2909.153809
17.121	2407.188965
17.138	1695.067749
17.154	1672.63562
17.171	2334.813477
17.187	2836.633057
